,lati,long,etopm,etoiv,etohs,municipios
0,-10.1689,-48.3317,3.82,4.41,4.79,Palmas
1,-12.6162,-47.8836,4.43,4.38,4.96,Parana
2,-12.0262,-48.5396,4.42,3.71,4.80,Peixe
3,-11.7249,-49.076,4.34,3.62,4.70,Gurupi
4,-8.9715,-48.1754,4.10,3.34,4.56,Pedro_afonso
5,-7.19207,-48.2078,3.60,3.48,5.28,Araguaina
6,-11.6281,-46.8214,4.29,4.04,4.23,Dianopolis
7,-11.7957,-49.5311,4.20,3.73,4.90,Formoso_do_araguaia
8,-10.5464,-46.4168,4.63,4.84,4.61,Mateiros
9,-9.79377,-49.6553,4.20,4.08,4.47,Marianopolis_do_to
10,-5.65615,-48.1189,3.89,4.12,4.57,Araguatins
